[ud-lm] split=train sentences=36404 avg_len=35.7 skipped=0  (ewt=12544, gum=10224, lines=3457, partut=1781, atis=4274, esl=4124)
[ud-lm] split=dev sentences=5922 avg_len=33.5 skipped=0  (ewt=2001, gum=1575, lines=1118, partut=156, atis=572, esl=500)
==============================================================================
start  2026-05-03T03:01:11
preset=prod  params=302.49M  vocab=76  d=1024 h=16 L=24 ff=4096 seq=96
device=cuda  amp=True  batch=8  steps=15000  lr=0.0003->1e-05 warmup=100
data: UD English EWT  train=36404 sentences  dev=5922
ckpts -> src/sara_brain/cortex/checkpoints
==============================================================================
  step    loss     ppl     lr       tok/s     gpu
-------------------------------------------------
     1  4.4545   86.01  6.00e-06       978    4866MB (peak 6076MB)
    20  3.3160   27.55  6.30e-05      4705    4861MB (peak 6076MB)
    40  1.6768    5.35  1.23e-04      4614    4861MB (peak 6076MB)
    60  1.6428    5.17  1.83e-04      4639    4861MB (peak 6076MB)
    80  1.6065    4.99  2.43e-04      4628    4861MB (peak 6076MB)
   100  1.7279    5.63  3.00e-04      4629    4861MB (peak 6076MB)
   120  1.6414    5.16  3.00e-04      4700    4861MB (peak 6076MB)
   140  1.5751    4.83  3.00e-04      4694    4861MB (peak 6076MB)
   160  1.4687    4.34  3.00e-04      4585    4861MB (peak 6076MB)
   180  1.6977    5.46  3.00e-04      4483    4861MB (peak 6076MB)
   200  1.4924    4.45  3.00e-04      4395    4861MB (peak 6076MB)
   220  1.5556    4.74  3.00e-04      4416    4861MB (peak 6076MB)
   240  1.3764    3.96  3.00e-04      4231    4861MB (peak 6076MB)
   260  1.3619    3.90  3.00e-04      4294    4861MB (peak 6076MB)
   280  1.4832    4.41  3.00e-04      4385    4861MB (peak 6076MB)
   300  1.6171    5.04  3.00e-04      4557    4861MB (peak 6076MB)
   320  1.2293    3.42  3.00e-04      4567    4861MB (peak 6076MB)
   340  1.4001    4.06  3.00e-04      4628    4861MB (peak 6076MB)
   360  1.4253    4.16  3.00e-04      4719    4861MB (peak 6076MB)
   380  1.5270    4.60  3.00e-04      4677    4861MB (peak 6076MB)
   400  1.5075    4.52  3.00e-04      4694    4861MB (peak 6076MB)
   420  1.6077    4.99  3.00e-04      4756    4861MB (peak 6076MB)
   440  1.3468    3.85  3.00e-04      4732    4861MB (peak 6076MB)
   460  1.4177    4.13  3.00e-04      4749    4861MB (peak 6076MB)
   480  1.2614    3.53  3.00e-04      4578    4861MB (peak 6076MB)
   500  1.3454    3.84  2.99e-04      4715    4861MB (peak 6076MB)
[eval] step=500  dev_ppl=3.825
[ckpt] src/sara_brain/cortex/checkpoints/grammar_prod_000500.pt
   520  1.6031    4.97  2.99e-04      1570    4861MB (peak 6076MB)
   540  1.1846    3.27  2.99e-04      4689    4861MB (peak 6076MB)
   560  1.3332    3.79  2.99e-04      4779    4861MB (peak 6076MB)
   580  1.1280    3.09  2.99e-04      4619    4861MB (peak 6076MB)
   600  1.2988    3.66  2.99e-04      4557    4861MB (peak 6076MB)
   620  1.2915    3.64  2.99e-04      4757    4861MB (peak 6076MB)
   640  1.1721    3.23  2.99e-04      4759    4861MB (peak 6076MB)
   660  1.1652    3.21  2.99e-04      4559    4861MB (peak 6076MB)
   680  1.2511    3.49  2.99e-04      4752    4861MB (peak 6076MB)
   700  1.2136    3.37  2.99e-04      4681    4861MB (peak 6076MB)
   720  1.2682    3.55  2.99e-04      4633    4861MB (peak 6076MB)
   740  1.6261    5.08  2.99e-04      4559    4861MB (peak 6076MB)
   760  1.4424    4.23  2.99e-04      4750    4861MB (peak 6076MB)
   780  1.2590    3.52  2.99e-04      4688    4861MB (peak 6076MB)
   800  1.2899    3.63  2.98e-04      4554    4861MB (peak 6076MB)
   820  1.2754    3.58  2.98e-04      4665    4861MB (peak 6076MB)
   840  1.4055    4.08  2.98e-04      4695    4861MB (peak 6076MB)
   860  1.3051    3.69  2.98e-04      4668    4861MB (peak 6076MB)
   880  1.3598    3.90  2.98e-04      4663    4861MB (peak 6076MB)
   900  1.2938    3.65  2.98e-04      4738    4861MB (peak 6076MB)
   920  1.2439    3.47  2.98e-04      4750    4861MB (peak 6076MB)
   940  1.3666    3.92  2.98e-04      4614    4861MB (peak 6076MB)
   960  1.1433    3.14  2.98e-04      4712    4861MB (peak 6076MB)
   980  1.4654    4.33  2.98e-04      4686    4861MB (peak 6076MB)
  1000  1.3226    3.75  2.97e-04      4767    4861MB (peak 6076MB)
[eval] step=1000  dev_ppl=3.550
[ckpt] src/sara_brain/cortex/checkpoints/grammar_prod_001000.pt
  1020  1.1671    3.21  2.97e-04      1508    4861MB (peak 6076MB)
  1040  1.3105    3.71  2.97e-04      4704    4861MB (peak 6076MB)
  1060  1.1854    3.27  2.97e-04      4779    4861MB (peak 6076MB)
  1080  1.4501    4.26  2.97e-04      4694    4861MB (peak 6076MB)
  1100  1.0972    3.00  2.97e-04      4633    4861MB (peak 6076MB)
  1120  1.1356    3.11  2.97e-04      4718    4861MB (peak 6076MB)
  1140  1.3140    3.72  2.97e-04      4716    4861MB (peak 6076MB)
  1160  1.2815    3.60  2.96e-04      4456    4861MB (peak 6076MB)
  1180  1.2038    3.33  2.96e-04      4671    4861MB (peak 6076MB)
  1200  1.1911    3.29  2.96e-04      4678    4861MB (peak 6076MB)
  1220  1.4312    4.18  2.96e-04      4751    4861MB (peak 6076MB)
  1240  1.2826    3.61  2.96e-04      4704    4861MB (peak 6076MB)
  1260  1.3501    3.86  2.96e-04      4717    4861MB (peak 6076MB)
  1280  1.2193    3.38  2.96e-04      4589    4861MB (peak 6076MB)
  1300  1.2416    3.46  2.95e-04      4585    4861MB (peak 6076MB)
  1320  1.1000    3.00  2.95e-04      4393    4861MB (peak 6076MB)
  1340  1.2157    3.37  2.95e-04      4475    4861MB (peak 6076MB)
  1360  1.3245    3.76  2.95e-04      4422    4861MB (peak 6076MB)
  1380  1.4940    4.45  2.95e-04      4187    4861MB (peak 6076MB)
  1400  1.1426    3.14  2.95e-04      4372    4861MB (peak 6076MB)
  1420  1.3044    3.69  2.94e-04      4532    4861MB (peak 6076MB)
  1440  1.1668    3.21  2.94e-04      4361    4861MB (peak 6076MB)
  1460  1.2970    3.66  2.94e-04      4468    4861MB (peak 6076MB)
  1480  1.2926    3.64  2.94e-04      4544    4861MB (peak 6076MB)
  1500  1.2910    3.64  2.94e-04      4534    4861MB (peak 6076MB)
[eval] step=1500  dev_ppl=3.337
[ckpt] src/sara_brain/cortex/checkpoints/grammar_prod_001500.pt
  1520  1.2322    3.43  2.94e-04      1533    4861MB (peak 6076MB)
  1540  1.1266    3.09  2.93e-04      4532    4861MB (peak 6076MB)
  1560  1.2163    3.37  2.93e-04      4552    4861MB (peak 6076MB)
  1580  1.2473    3.48  2.93e-04      4545    4861MB (peak 6076MB)
  1600  1.4107    4.10  2.93e-04      4461    4861MB (peak 6076MB)
  1620  1.1756    3.24  2.93e-04      4567    4861MB (peak 6076MB)
  1640  1.2146    3.37  2.92e-04      4542    4861MB (peak 6076MB)
  1660  1.4403    4.22  2.92e-04      4547    4861MB (peak 6076MB)
  1680  1.1900    3.29  2.92e-04      4489    4861MB (peak 6076MB)
  1700  0.9640    2.62  2.92e-04      4481    4861MB (peak 6076MB)
  1720  1.1154    3.05  2.92e-04      4584    4861MB (peak 6076MB)
  1740  1.1108    3.04  2.91e-04      4534    4861MB (peak 6076MB)
  1760  1.1042    3.02  2.91e-04      4516    4861MB (peak 6076MB)
  1780  1.2650    3.54  2.91e-04      4487    4861MB (peak 6076MB)
  1800  1.3220    3.75  2.91e-04      4566    4861MB (peak 6076MB)
  1820  1.2712    3.57  2.91e-04      4568    4861MB (peak 6076MB)
  1840  1.2760    3.58  2.90e-04      4510    4861MB (peak 6076MB)
  1860  1.0534    2.87  2.90e-04      4490    4861MB (peak 6076MB)
  1880  1.3815    3.98  2.90e-04      4571    4861MB (peak 6076MB)
  1900  1.4310    4.18  2.90e-04      4562    4861MB (peak 6076MB)
  1920  1.2784    3.59  2.89e-04      4502    4861MB (peak 6076MB)
  1940  1.2090    3.35  2.89e-04      4503    4861MB (peak 6076MB)
  1960  1.2215    3.39  2.89e-04      3377    4861MB (peak 6076MB)
  1980  1.1347    3.11  2.89e-04      4555    4861MB (peak 6076MB)
  2000  1.2665    3.55  2.89e-04      4425    4861MB (peak 6076MB)
[eval] step=2000  dev_ppl=3.462
[ckpt] src/sara_brain/cortex/checkpoints/grammar_prod_002000.pt
  2020  1.0923    2.98  2.88e-04      1473    4861MB (peak 6076MB)
  2040  1.2104    3.35  2.88e-04      4506    4861MB (peak 6076MB)
  2060  0.9203    2.51  2.88e-04      4538    4861MB (peak 6076MB)
  2080  1.3368    3.81  2.88e-04      4535    4861MB (peak 6076MB)
  2100  1.3993    4.05  2.87e-04      4576    4861MB (peak 6076MB)
  2120  1.2543    3.51  2.87e-04      4589    4861MB (peak 6076MB)
  2140  1.2942    3.65  2.87e-04      4458    4861MB (peak 6076MB)
  2160  1.2049    3.34  2.87e-04      4533    4861MB (peak 6076MB)
  2180  1.1959    3.31  2.86e-04      4601    4861MB (peak 6076MB)
  2200  1.3698    3.93  2.86e-04      4583    4861MB (peak 6076MB)
  2220  1.2321    3.43  2.86e-04      4531    4861MB (peak 6076MB)
  2240  1.2962    3.66  2.85e-04      4589    4861MB (peak 6076MB)
  2260  1.2594    3.52  2.85e-04      4539    4861MB (peak 6076MB)
  2280  1.2407    3.46  2.85e-04      4582    4861MB (peak 6076MB)
  2300  1.3119    3.71  2.85e-04      4516    4861MB (peak 6076MB)
  2320  1.2159    3.37  2.84e-04      4554    4861MB (peak 6076MB)
  2340  1.2771    3.59  2.84e-04      4526    4861MB (peak 6076MB)
  2360  1.0130    2.75  2.84e-04      4582    4861MB (peak 6076MB)
  2380  1.2395    3.45  2.84e-04      4570    4861MB (peak 6076MB)
  2400  1.2606    3.53  2.83e-04      4526    4861MB (peak 6076MB)
  2420  1.2775    3.59  2.83e-04      4530    4861MB (peak 6076MB)
  2440  1.0735    2.93  2.83e-04      4576    4861MB (peak 6076MB)
  2460  1.3132    3.72  2.82e-04      4565    4861MB (peak 6076MB)
  2480  1.3164    3.73  2.82e-04      4545    4861MB (peak 6076MB)
  2500  1.2024    3.33  2.82e-04      4396    4861MB (peak 6076MB)
[eval] step=2500  dev_ppl=3.403
[ckpt] src/sara_brain/cortex/checkpoints/grammar_prod_002500.pt
  2520  1.3662    3.92  2.82e-04      1429    4861MB (peak 6076MB)
  2540  1.3553    3.88  2.81e-04      4549    4861MB (peak 6076MB)
  2560  1.2889    3.63  2.81e-04      4574    4861MB (peak 6076MB)
  2580  1.2873    3.62  2.81e-04      4502    4861MB (peak 6076MB)
  2600  1.2044    3.33  2.80e-04      4503    4861MB (peak 6076MB)
  2620  1.2367    3.44  2.80e-04      4535    4861MB (peak 6076MB)
  2640  1.0659    2.90  2.80e-04      4576    4861MB (peak 6076MB)
  2660  1.4936    4.45  2.79e-04      4565    4861MB (peak 6076MB)
  2680  1.1932    3.30  2.79e-04      4519    4861MB (peak 6076MB)
  2700  1.4133    4.11  2.79e-04      4549    4861MB (peak 6076MB)
  2720  1.4050    4.08  2.78e-04      4562    4861MB (peak 6076MB)
  2740  1.1570    3.18  2.78e-04      4558    4861MB (peak 6076MB)
  2760  1.2194    3.39  2.78e-04      4502    4861MB (peak 6076MB)
